001244, "Cisco Systems, Inc.", "NETWORK_VENDOR", "5"
00124F, "Tyco Thermal Controls LLC.", "SCADA_VENDOR", "3"
00127F, "Cisco Systems, Inc.", "NETWORK_VENDOR", "5"
001280, "Cisco Systems, Inc.", "NETWORK_VENDOR", "5"
001293, "GE Energy", "SCADA_VENDOR", "2"
0012A8, "intec GmbH", "SCADA_VENDOR", "2"
0012C2, "Apex Electronics Factory", "SCADA_VENDOR", "3"
0012D9, "Cisco Systems, Inc.", "NETWORK_VENDOR", "5"
0012DA, "Cisco Systems, Inc.", "NETWORK_VENDOR", "5"
0012ED, "AVG Advanced Technologies", "SCADA_VENDOR", "2"
001310, "Cisco-Linksys, LLC", "NETWORK_VENDOR", "5"
001319, "Cisco Systems, Inc.", "NETWORK_VENDOR", "5"
00131A, "Cisco Systems, Inc.", "NETWORK_VENDOR", "5"
001324, "Schneider Electric Ultra Terminal", "SCADA_VENDOR", "2"
001345, "Eaton Corporation", "SCADA_VENDOR", "3"
00135F, "Cisco Systems, Inc.", "NETWORK_VENDOR", "5"
001360, "Cisco Systems, Inc.", "NETWORK_VENDOR", "5"
001372, "Dell ESG PCBA Test", "PC_VENDOR", "5"
00137F, "Cisco Systems, Inc.", "NETWORK_VENDOR", "5"
001380, "Cisco Systems, Inc.", "NETWORK_VENDOR", "5"
001384, "Advanced Motion Controls", "ROBOTICS", "3"
001386, "ABB Inc./Totalflow", "SCADA_VENDOR", "2"
0013C3, "Cisco Systems, Inc.", "NETWORK_VENDOR", "5"
0013C4, "Cisco Systems, Inc.", "NETWORK_VENDOR", "5"
0013D5, "RuggedCom", "NETWORK_VENDOR", "5"
001411, "Deutschmann Automation GmbH & Co. KG", "SCADA_VENDOR", "3"
001415, "Intec Automation Inc.", "SCADA_VENDOR", "3"
00141B, "Cisco Systems, Inc.", "NETWORK_VENDOR", "5"
00141C, "Cisco Systems, Inc.", "NETWORK_VENDOR", "5"
001422, "Dell ESG PCBA Test", "PC_VENDOR", "5"
001469, "Cisco Systems, Inc.", "NETWORK_VENDOR", "5"
00146A, "Cisco Systems, Inc.", "NETWORK_VENDOR", "5"
0014A8, "Cisco Systems, Inc.", "NETWORK_VENDOR", "5"
0014A9, "Cisco Systems, Inc.", "NETWORK_VENDOR", "5"
0014BF, "Cisco-Linksys LLC", "NETWORK_VENDOR", "5"
0014F1, "Cisco Systems, Inc.", "NETWORK_VENDOR", "5"
0014F2, "Cisco Systems, Inc.", "NETWORK_VENDOR", "5"
0014F7, "CREVIS Co., LTD", "SCADA_VENDOR", "3"
0014FF, "Precise Automation, Inc.", "ROBOTICS", "3"
001524, "Numatics, Inc.", "SCADA_VENDOR", "3"
00152B, "Cisco Systems, Inc.", "NETWORK_VENDOR", "5"
00152C, "Cisco Systems, Inc.", "NETWORK_VENDOR", "5"
00154E, "IEC", "SCADA_VENDOR", "3"
001562, "Cisco Systems, Inc.", "NETWORK_VENDOR", "5"
001563, "Cisco Systems, Inc.", "NETWORK_VENDOR", "5"
0015A6, "Digital Electronics Products Ltd.", "SCADA_VENDOR", "2"
0015BA, "iba AG", "SCADA_VENDOR", "3"
0015C5, "Dell ESG PCBA Test", "PC_VENDOR", "5"
0015C6, "Cisco Systems, Inc.", "NETWORK_VENDOR", "5"
0015C7, "Cisco Systems, Inc.", "NETWORK_VENDOR", "5"
0015DD, "IP Control Systems Ltd.", "SECURITY", "3"
0015F9, "Cisco Systems, Inc.", "NETWORK_VENDOR", "5"
0015FA, "Cisco Systems, Inc.", "NETWORK_VENDOR", "5"
0015FC, "Littelfuse Startco", "SCADA_VENDOR", "3"
001646, "Cisco Systems, Inc.", "NETWORK_VENDOR", "5"
001647, "Cisco Systems, Inc.", "NETWORK_VENDOR", "5"
00165F, "Fairmount Automation", "SCADA_VENDOR", "3"
001677, "Bihl+Wiedemann GmbH", "SCADA_VENDOR", "3"
00169C, "Cisco Systems, Inc.", "NETWORK_VENDOR", "5"
00169D, "Cisco Systems, Inc.", "NETWORK_VENDOR", "5"
0016B6, "Cisco-Linksys", "NETWORK_VENDOR", "5"
0016BD, "ATI Industrial Automation", "SCADA_VENDOR", "2"
0016C7, "Cisco Systems, Inc.", "NETWORK_VENDOR", "5"
0016C8, "Cisco Systems, Inc.", "NETWORK_VENDOR", "5"
0016F0, "Dell", "PC_VENDOR", "5"
00170E, "Cisco Systems, Inc.", "NETWORK_VENDOR", "5"
00170F, "Cisco Systems, Inc.", "NETWORK_VENDOR", "5"
00173B, "Cisco Systems, Inc.", "NETWORK_VENDOR", "5"
001759, "Cisco Systems, Inc.", "NETWORK_VENDOR", "5"
00175A, "Cisco Systems, Inc.", "NETWORK_VENDOR", "5"
